阶段,流体键,体积_m3,排量_m3_min,起始累计体积_m3,结束累计体积_m3,来源,备注
注平衡液,balance,25.0,1.2,0.0,25.0,呼101抽取报告 §3.2,直接体积与密度
注驱油隔离液,spacer,25.0,1.2,25.0,50.0,呼101抽取报告 §3.2,直接体积与密度；流变缺失，采用文献+泥浆代理回填
注领浆,lead,47.0,1.2,50.0,97.0,呼101抽取报告 §3.2 + 2011121,直接体积、密度、幂律参数
注尾浆,tail,23.0,1.2,97.0,120.0,呼101抽取报告 §3.2 + 2011121,直接体积、密度、幂律参数
