rate_m3_min,pv_mpa_s,yp_pa,n_fit,k_fit,effective_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,target_interval_efficiency,channeling_index,mixing_index,instability_index,scenario_type
1.3,78.46432546056607,21.640374931671943,0.722,0.684,0.7279800570136603,0.7257250912096475,0.6663565861553388,0.958210854377985,0.9640287769773602,0.13568487767044562,0.9944617855296147,baseline_original
1.0,60.0,15.0,0.74113031178081,0.4489966296271504,0.8045530409456856,0.809015826632929,0.7424463599142831,0.9437242200891282,0.9784172661859775,0.12666198301815268,0.9947816971679111,factorial_3x3x3
1.0,60.0,22.0,0.661955317994584,0.8484519195493819,0.8664507514131069,0.8740260983039796,0.8026205097147695,0.9582205760224006,0.9784172661859775,0.10984333622611446,0.9946031039662594,factorial_3x3x3
1.0,60.0,30.0,0.5901853616005307,1.529086442385996,0.8702382152675479,0.8779796504001989,0.8055010631337021,0.9678857364765283,0.9712230215816688,0.14567762767968828,0.9947771233510281,factorial_3x3x3
1.0,80.0,15.0,0.7920787485704619,0.3999205861368383,0.8814104266056497,0.890276957639258,0.8177326964615238,0.9535614007641132,0.9784172661859775,0.10376439360855248,0.9945370600717666,factorial_3x3x3
1.0,80.0,22.0,0.7225772619930931,0.6941753288543463,0.886969066949104,0.8955663425465026,0.8233936323592663,0.9650779554189639,0.9712230215816688,0.08947596952537037,0.9941603367348262,factorial_3x3x3
1.0,80.0,30.0,0.656953416854445,1.1781954582125806,0.8909932114627308,0.8993606751305754,0.8628246639274425,0.9729277523172138,0.3093525179852723,0.10910898096645116,0.8080628369777825,factorial_3x3x3
1.0,100.0,15.0,0.8262503929145565,0.38226772028391753,0.9513114032772115,0.9532983509031319,0.8786590935092773,0.9618486520319065,0.9712230215816688,0.023877377234387088,0.9933477067921364,factorial_3x3x3
1.0,100.0,22.0,0.7647218622680442,0.6204813072728234,0.930969297569774,0.9430537411943787,0.8707669486311822,0.9708357171005183,0.9208633093515083,0.056611010245875004,0.9918888348635239,factorial_3x3x3
1.0,100.0,30.0,0.7049483572904187,0.9993646649621744,0.9138028460866688,0.9238863318097738,0.9124555990330501,0.977049276259765,0.050359712230160586,0.1095993849647368,0.23566625963994714,factorial_3x3x3
1.3,60.0,15.0,0.74113031178081,0.4489966296271504,0.6375937618753442,0.6297535962383648,0.5773808525206885,0.9329572118577447,0.9856115107902861,0.1404952328345596,0.9951175540512914,factorial_3x3x3
1.3,60.0,22.0,0.661955317994584,0.8484519195493819,0.6905250535476699,0.6854109768697798,0.6288738723892272,0.9509900783424053,0.9568345323730514,0.16654918457358603,0.994580215915007,factorial_3x3x3
1.3,60.0,30.0,0.5901853616005307,1.529086442385996,0.7273820982273689,0.7243813595060422,0.6647249063144711,0.9615332647924043,0.9640287769773602,0.1514157172243883,0.9946309025962403,factorial_3x3x3
1.3,80.0,15.0,0.7920787485704619,0.3999205861368383,0.6901392809641217,0.6860169640614219,0.6303243778353537,0.9461480224344091,0.9496402877687428,0.14058665656044875,0.9940718848007091,factorial_3x3x3
1.3,80.0,22.0,0.7225772619930931,0.6941753288543463,0.701412051145098,0.6966674155521002,0.6383351563834054,0.9593195121156393,0.9784172661859775,0.1680947548969372,0.9951968543713686,factorial_3x3x3
